donor_id,cell_type,disease,n_cells,sample_id
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13641,endothelial cell,type 2 diabetes mellitus,422,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13641|endothelial_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_adult__mouse1,endothelial cell,normal,58,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_adult__mouse1|endothelial_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G3,pancreatic PP cell,type 2 diabetes mellitus,267,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G3|pancreatic_PP_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13634,endothelial cell,normal,239,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13634|endothelial_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610296,pancreatic A cell,normal,429,mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610296|pancreatic_A_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G2,endothelial cell,type 2 diabetes mellitus,443,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G2|endothelial_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_P16__146_mRFP,pancreatic PP cell,normal,329,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_P16__146_mRFP|pancreatic_PP_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G5,endothelial cell,type 2 diabetes mellitus,317,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G5|endothelial_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_2y__MUC13976,pancreatic A cell,normal,318,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_2y__MUC13976|pancreatic_A_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G8,pancreatic PP cell,type 2 diabetes mellitus,195,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G8|pancreatic_PP_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_2y__MUC13974,endothelial cell,normal,183,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_2y__MUC13974|endothelial_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G3,endothelial cell,type 2 diabetes mellitus,60,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G3|endothelial_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G1,pancreatic D cell,normal,660,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G1|pancreatic_D_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13640,pancreatic D cell,type 2 diabetes mellitus,571,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13640|pancreatic_D_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__NOD__SRR10985098,pancreatic A cell,normal,172,mouse_pancreatic_islet_atlas_Hrovatin__NOD__SRR10985098|pancreatic_A_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__spikein_drug__SRR10751509,pancreatic A cell,normal,296,mouse_pancreatic_islet_atlas_Hrovatin__spikein_drug__SRR10751509|pancreatic_A_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_P16__146_mRFP,pancreatic D cell,normal,320,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_P16__146_mRFP|pancreatic_D_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G6,pancreatic PP cell,type 2 diabetes mellitus,341,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G6|pancreatic_PP_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610297,pancreatic PP cell,normal,249,mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610297|pancreatic_PP_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13633,pancreatic D cell,normal,309,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13633|pancreatic_D_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_2y__MUC13976,pancreatic D cell,normal,137,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_2y__MUC13976|pancreatic_D_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_2y__MUC13974,pancreatic A cell,normal,240,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_2y__MUC13974|pancreatic_A_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13642,pancreatic PP cell,type 2 diabetes mellitus,114,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13642|pancreatic_PP_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610296,pancreatic PP cell,normal,143,mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610296|pancreatic_PP_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13640,pancreatic ductal cell,type 2 diabetes mellitus,208,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13640|pancreatic_ductal_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G1,pancreatic PP cell,normal,113,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G1|pancreatic_PP_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610295,type B pancreatic cell,normal,189,mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610295|type_B_pancreatic_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13642,pancreatic stellate cell,type 2 diabetes mellitus,185,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13642|pancreatic_stellate_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13633,endothelial cell,normal,299,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13633|endothelial_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G4,pancreatic ductal cell,type 2 diabetes mellitus,42,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G4|pancreatic_ductal_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13634,pancreatic D cell,normal,342,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13634|pancreatic_D_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_2y__MUC13976,pancreatic PP cell,normal,30,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_2y__MUC13976|pancreatic_PP_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610295,pancreatic PP cell,normal,99,mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610295|pancreatic_PP_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13631,endothelial cell,type 2 diabetes mellitus,141,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13631|endothelial_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__spikein_drug__SRR10751504,pancreatic stellate cell,normal,58,mouse_pancreatic_islet_atlas_Hrovatin__spikein_drug__SRR10751504|pancreatic_stellate_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__spikein_drug__SRR10751509,pancreatic D cell,normal,78,mouse_pancreatic_islet_atlas_Hrovatin__spikein_drug__SRR10751509|pancreatic_D_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__spikein_drug__SRR10751504,pancreatic A cell,normal,249,mouse_pancreatic_islet_atlas_Hrovatin__spikein_drug__SRR10751504|pancreatic_A_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__spikein_drug__SRR10751504,pancreatic PP cell,normal,115,mouse_pancreatic_islet_atlas_Hrovatin__spikein_drug__SRR10751504|pancreatic_PP_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G6,pancreatic ductal cell,type 2 diabetes mellitus,24,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G6|pancreatic_ductal_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13631,pancreatic ductal cell,type 2 diabetes mellitus,179,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13631|pancreatic_ductal_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13634,pancreatic stellate cell,normal,46,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13634|pancreatic_stellate_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__spikein_drug__SRR10751514,pancreatic D cell,normal,67,mouse_pancreatic_islet_atlas_Hrovatin__spikein_drug__SRR10751514|pancreatic_D_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13633,pancreatic stellate cell,normal,80,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13633|pancreatic_stellate_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__spikein_drug__SRR10751504,pancreatic D cell,normal,160,mouse_pancreatic_islet_atlas_Hrovatin__spikein_drug__SRR10751504|pancreatic_D_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13642,pancreatic ductal cell,type 2 diabetes mellitus,102,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13642|pancreatic_ductal_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G1,pancreatic stellate cell,normal,66,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G1|pancreatic_stellate_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_2y__MUC13975,pancreatic D cell,normal,182,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_2y__MUC13975|pancreatic_D_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__NOD__SRR10985099,pancreatic D cell,normal,104,mouse_pancreatic_islet_atlas_Hrovatin__NOD__SRR10985099|pancreatic_D_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__NOD__SRR10985098,pancreatic ductal cell,normal,28,mouse_pancreatic_islet_atlas_Hrovatin__NOD__SRR10985098|pancreatic_ductal_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_adult__mouse2,pancreatic D cell,normal,108,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_adult__mouse2|pancreatic_D_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_adult__mouse3,endothelial cell,normal,55,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_adult__mouse3|endothelial_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__NOD__SRR10985099,pancreatic A cell,normal,146,mouse_pancreatic_islet_atlas_Hrovatin__NOD__SRR10985099|pancreatic_A_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G8,endothelial cell,type 2 diabetes mellitus,71,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G8|endothelial_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13631,pancreatic PP cell,type 2 diabetes mellitus,46,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13631|pancreatic_PP_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__spikein_drug__SRR10751514,pancreatic PP cell,normal,25,mouse_pancreatic_islet_atlas_Hrovatin__spikein_drug__SRR10751514|pancreatic_PP_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_2y__MUC13975,pancreatic PP cell,normal,87,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_2y__MUC13975|pancreatic_PP_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13641,pancreatic PP cell,type 2 diabetes mellitus,134,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13641|pancreatic_PP_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_adult__mouse1,pancreatic D cell,normal,116,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_adult__mouse1|pancreatic_D_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G8,pancreatic stellate cell,type 2 diabetes mellitus,45,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G8|pancreatic_stellate_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_2y__MUC13975,pancreatic ductal cell,normal,50,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_2y__MUC13975|pancreatic_ductal_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_P16__147_mTmG,pancreatic PP cell,normal,92,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_P16__147_mTmG|pancreatic_PP_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13633,pancreatic ductal cell,normal,30,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13633|pancreatic_ductal_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_P16__146_mRFP,pancreatic ductal cell,normal,45,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_P16__146_mRFP|pancreatic_ductal_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13639,pancreatic PP cell,type 2 diabetes mellitus,135,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13639|pancreatic_PP_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_adult__mouse2,pancreatic A cell,normal,104,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_adult__mouse2|pancreatic_A_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G3,pancreatic stellate cell,type 2 diabetes mellitus,44,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G3|pancreatic_stellate_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__NOD__SRR10985097,pancreatic stellate cell,normal,23,mouse_pancreatic_islet_atlas_Hrovatin__NOD__SRR10985097|pancreatic_stellate_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_2y__MUC13974,pancreatic PP cell,normal,30,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_2y__MUC13974|pancreatic_PP_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__spikein_drug__SRR10751504,endothelial cell,normal,27,mouse_pancreatic_islet_atlas_Hrovatin__spikein_drug__SRR10751504|endothelial_cell|normal
